Cluster,Anzahl Personen,Prozent (%),geschmack_rauchig,geschmack_hopfig,geschmack_suesslich_malzig,geschmack_fruchtig,geschmack_kraeuter,geschmack_gewuerze,geschmack_bitter,geschmack_saeuerlich,geschmack_zitrus
0,127,23.7,1.2755905511811028,1.58267716535433,2.826771653543307,3.78740157480315,1.779527559055118,1.6377952755905514,1.2283464566929139,1.6377952755905512,3.834645669291339
1,195,36.4,1.9794871794871793,3.1897435897435895,3.097435897435897,3.3897435897435897,1.9846153846153847,2.076923076923077,2.1333333333333333,2.317948717948718,3.3692307692307697
2,115,21.5,1.4695652173913043,3.626086956521739,2.243478260869565,1.8956521739130436,1.3739130434782614,1.5478260869565217,2.4000000000000004,1.6,1.826086956521739
3,99,18.5,2.95959595959596,3.5656565656565657,3.484848484848485,3.313131313131313,3.141414141414141,3.2424242424242427,2.6969696969696972,2.515151515151515,3.090909090909091
